"groupId","artifactId","version","updateType","major","nonMajor"
"io.quarkus","quarkus-smallrye-metrics","3.12.1","minor","","3.25.3"
"com.google.apis","google-api-services-gmail","v1-rev20231218-2.0.0","patch","","v1-rev20250630-2.0.0"
"com.google.auth","google-auth-library-oauth2-http","1.23.0","minor","","1.37.1"
"org.postgresql","postgresql","42.7.2","patch","","42.7.7"
"com.google.guava","guava","33.2.1-jre","minor","","33.4.8-jre"
"com.sun.xml.ws","rt","4.0.2","patch","","4.0.3"
"de.focus-shift","jollyday-jaxb","0.16.0","minor","","0.35.1"
"de.focus-shift","jollyday-jaxb","0.16.0","major","1.5.6",""
"org.assertj","assertj-core","3.23.1","minor","","3.27.4"
"jakarta.mail","jakarta.mail-api","2.1.2","patch","","2.1.3"
"io.quarkus","quarkus-bom","3.12.1","minor","","3.25.3"
"com.google.api-client","google-api-client-bom","2.3.0","minor","","2.8.0"
"org.apache.cxf","cxf-codegen-plugin","4.0.0","minor","","4.1.3"
"org.apache.cxf.xjc-utils","cxf-xjc-runtime","4.0.0","minor","","4.1.0"
"org.patrodyne.jvnet","hisrc-basicjaxb-plugins","2.1.0","minor","","2.2.1"
"org.patrodyne.jvnet","hisrc-basicjaxb-runtime","2.1.0","minor","","2.2.1"
"io.quarkus","quarkus-maven-plugin","3.12.1","minor","","3.25.3"
"org.apache.maven.plugins","maven-surefire-plugin","3.2.3","minor","","3.5.3"
"org.apache.maven.plugins","maven-enforcer-plugin","3.0.0-M3","minor","","3.6.1"
"org.liquibase","liquibase-maven-plugin","4.17.0","minor","","4.33.0"
"org.liquibase.ext","liquibase-hibernate5","4.6.2","minor","","4.27.0"
"org.springframework","spring-beans","5.3.18","patch","","5.3.39"
"org.springframework","spring-beans","5.3.18","major","6.2.10",""
"org.springframework.data","spring-data-jpa","2.3.3.RELEASE","minor","","2.7.18"
"org.springframework.data","spring-data-jpa","2.3.3.RELEASE","major","3.5.2",""
"org.yaml","snakeyaml","1.26","minor","","1.33"
"org.yaml","snakeyaml","1.26","major","2.4",""
"org.codehaus.mojo","native2ascii-maven-plugin","2.0.1","minor","","2.1.1"
