"groupId","artifactId","updateType","major","nonMajor"
"io.quarkus.platform","quarkus-bom","patch","","2.16.12.Final"
"io.quarkus.platform","quarkus-bom","major","3.23.0",""
"io.quarkus.platform","quarkus-maven-plugin","patch","","2.16.12.Final"
"io.quarkus.platform","quarkus-maven-plugin","major","3.23.0",""
"org.apache.maven.plugins","maven-compiler-plugin","minor","","3.14.0"
"org.apache.maven.plugins","maven-surefire-plugin","minor","","3.5.3"
"org.apache.maven.plugins","maven-failsafe-plugin","minor","","3.5.3"
"org.openrewrite.maven","rewrite-maven-plugin","minor","","5.47.3"
"org.openrewrite.maven","rewrite-maven-plugin","major","6.10.0",""
"org.openrewrite.recipe","rewrite-testing-frameworks","minor","","2.24.1"
"org.openrewrite.recipe","rewrite-testing-frameworks","major","3.10.0",""
